rec_id,scan_time_ct,event_id,event_label,closing_odds,closing_implied_prob,closing_clv_pct,result_if_played,hypothetical_profit,hypothetical_units,graded_at_utc,enrichment_status,enrichment_note
20260307-004,2026-03-07 01:11 AM,6ca48b4df9d476b04ce89d5f8f0c3806,Los Angeles Clippers @ Memphis Grizzlies,,,,loss,-13.29,-1,2026-03-08T20:40:34.566Z,graded_from_counterfactual_cache,Closing odds/CLV unavailable in source cache; result and hypothetical units derived from passed-opportunity grading cache.
20260307-005,2026-03-07 01:11 AM,97df2ad273fb56b34417ab6cb86d1ab3,Washington Capitals @ Boston Bruins,,,,loss,-13.29,-1,2026-03-08T20:41:56.131Z,graded_from_counterfactual_cache,Closing odds/CLV unavailable in source cache; result and hypothetical units derived from passed-opportunity grading cache.
20260307-006,2026-03-07 01:11 AM,82b2850e20f26b973018047b3f743718,Vancouver Canucks @ Chicago Blackhawks,,,,win,29.9,2.25,2026-03-08T20:41:56.132Z,graded_from_counterfactual_cache,Closing odds/CLV unavailable in source cache; result and hypothetical units derived from passed-opportunity grading cache.
20260309-001,2026-03-09 06:00 AM,0b99caf66dc0e57b0a2bb492e66e9b48,Denver Nuggets @ Oklahoma City Thunder,,,,loss,-13.29,-1,2026-03-11T07:03:41.334Z,graded_from_counterfactual_cache,Closing odds/CLV unavailable in source cache; result and hypothetical units derived from passed-opportunity grading cache.
20260309-002,2026-03-09 06:00 AM,,,,,,,,,,missing_grade,No post-game enrichment available yet.
20260309-003,2026-03-09 06:00 AM,,,,,,,,,,missing_grade,No post-game enrichment available yet.
20260309-006,2026-03-09 06:00 AM,,,,,,ungraded,,,2026-03-17T02:43:11.841Z,graded_from_counterfactual_cache,Closing odds/CLV unavailable in source cache; result and hypothetical units derived from passed-opportunity grading cache.
20260310-002,2026-03-10 06:05 AM,,,,,,,,,,missing_grade,No post-game enrichment available yet.
20260310-003,2026-03-10 06:05 AM,,,,,,ungraded,,,2026-03-17T02:43:11.842Z,graded_from_counterfactual_cache,Closing odds/CLV unavailable in source cache; result and hypothetical units derived from passed-opportunity grading cache.
20260310-004,2026-03-10 06:05 AM,7d180045123423c1e02bae32045e1415,Detroit Red Wings @ Florida Panthers,,,,win,10.22,0.7692307692307692,2026-03-11T07:03:41.337Z,graded_from_counterfactual_cache,Closing odds/CLV unavailable in source cache; result and hypothetical units derived from passed-opportunity grading cache.
20260310-005,2026-03-10 06:05 AM,,,,,,loss,-13.29,-1,2026-03-17T02:36:59.298Z,graded_from_counterfactual_cache,Closing odds/CLV unavailable in source cache; result and hypothetical units derived from passed-opportunity grading cache.
20260310-006,2026-03-10 06:05 AM,0d72e89b9d5550033a1860b3143be68c,Vegas Golden Knights @ Dallas Stars,,,,win,8.86,0.6666666666666665,2026-03-11T07:03:41.337Z,graded_from_counterfactual_cache,Closing odds/CLV unavailable in source cache; result and hypothetical units derived from passed-opportunity grading cache.
20260310-007,2026-03-10 06:05 AM,,,,,,loss,-13.29,-1,2026-03-17T02:36:59.298Z,graded_from_counterfactual_cache,Closing odds/CLV unavailable in source cache; result and hypothetical units derived from passed-opportunity grading cache.
